i	fxR	wRC	binary	wen	fx	iR	iRC	iC
 0	 2	 2	000000	 2	 2	 0	 0	 0
 1	24	24	000001	23	23	32	32	 1
 2	 7	 7	000010	 8	 8	16	16	 2
 3	19	19	000011	20	20	48	48	 3
 4	15	15	000100	16	16	 8	 8	 4
 5	36	36	000101	35	35	40	40	 5
 6	46	46	000110	45	45	24	24	 6
 7	11	11	000111	12	12	56	56	 7
 8	16	16	001000	15	15	 4	 4	 8
 9	51	51	001001	52	52	36	36	 9
10	40	40	001010	39	39	20	20	10
11	54	54	001011	53	53	52	52	11
12	62	62	001100	62	62	12	12	12
13	55	55	001101	56	56	44	44	13
14	32	32	001110	31	31	28	28	14
15	34	34	001111	33	33	60	60	15
16	 8	 8	010000	 7	 7	 2	 2	16
17	 3	 3	010001	 4	 4	34	34	17
18	29	29	010010	29	29	18	18	18
19	60	60	010011	59	59	50	50	19
20	39	39	010100	40	40	10	10	20
21	63	63	010101	64	64	42	42	21
22	48	48	010110	47	47	26	26	22
23	 5	 5	010111	 6	 6	58	58	23
24	45	45	011000	46	46	 6	 6	24
25	17	17	011001	18	18	38	38	25
26	47	47	011010	48	48	22	22	26
27	58	58	011011	57	57	54	54	27
28	31	31	011100	32	32	14	14	28
29	49	49	011101	50	50	46	46	29
30	28	28	011110	28	28	30	30	30
31	43	43	011111	44	44	62	62	31
32	 1	23	100000	24	 1	 1	63	63
33	44	27	100001	27	43	33	31	62
34	13	 4	100010	 3	14	17	47	61
35	33	41	100011	42	34	49	15	60
36	10	52	100100	51	 9	 9	55	59
37	 6	22	100101	21	 5	41	23	58
38	25	18	100110	17	26	25	39	57
39	12	26	100111	25	11	57	 7	56
40	 9	35	101000	36	10	 5	59	55
41	57	21	101001	22	58	37	27	54
42	37	64	101010	63	38	21	43	53
43	53	38	101011	37	54	53	11	52
44	61	56	101100	55	61	13	51	51
45	59	30	101101	30	60	45	19	50
46	42	50	101110	49	41	29	35	49
47	20	14	101111	13	19	61	 3	48
48	14	20	110000	19	13	 3	61	47
49	50	42	110001	41	49	35	29	46
50	30	59	110010	60	30	19	45	45
51	56	61	110011	61	55	51	13	44
52	38	53	110100	54	37	11	53	43
53	64	37	110101	38	63	43	21	42
54	21	57	110110	58	22	27	37	41
55	35	 9	110111	10	36	59	 5	40
56	26	12	111000	11	25	 7	57	39
57	18	25	111001	26	17	39	25	38
58	22	 6	111010	 5	21	23	41	37
59	52	10	111011	 9	51	55	 9	36
60	41	33	111100	34	42	15	49	35
61	 4	13	111101	14	 3	47	17	34
62	27	44	111110	43	27	31	33	33
63	23	 1	111111	 1	24	63	 1	32
